url,original_message,message,original_label,is_good,is_bad,binary_label
https://github.com/junit-team/junit4/commit/1254795902e56eb545e1fe696827924bc5e82b66,"Mark ThreadGroups created by FailOnTimeout as daemon groups (#1687) 
  
 Mark ThreadGroup created by FailOnTimeout as a daemon group. 
  
 Previously, FailOnTimeout destroyed the ThreadGroup, which could cause race conditions if the ThreadGroup was referenced by other threads. 
  
 Fixes #1652","Mark ThreadGroups created by FailOnTimeout as daemon groups
Mark ThreadGroup created by FailOnTimeout as a daemon group.
Previously, FailOnTimeout destroyed the ThreadGroup, which could cause race conditions if the ThreadGroup was referenced by other threads.",Why and What,True,False,1.0
https://github.com/junit-team/junit4/commit/435d41f0d45cfdbc1a38e1ad4eb1d5300da533f9,"Use Google's Maven Central mirror 
  
 We are using Maven 3.1.1 which by default uses HTTP instead of HTTPS for 
 resolving artifacts from Maven Central. Maven Central recently 
 discontinued HTTP support. Therefore the build on Travis started 
 failing. By using an HTTPS mirror of Maven Central the build on Travis 
 will work again. 
  
 I chose Google's mirror because Travis uses this mirror by default, too. 
 I did not upgrade to a new version of Maven because there is no newer 
 version with Java 5 support and it should be possible to build JUnit 4 
 with Java 5 so that we can easily ensure that it works with Java 5.","Use Google's Maven Central mirror
We are using Maven 3.1.1 which by default uses HTTP instead of HTTPS for
resolving artifacts from Maven Central. Maven Central recently
discontinued HTTP support. Therefore the build on Travis started
failing. By using an HTTPS mirror of Maven Central the build on Travis
will work again.
I chose Google's mirror because Travis uses this mirror by default, too.
I did not upgrade to a new version of Maven because there is no newer
version with Java 5 support and it should be possible to build JUnit 4
with Java 5 so that we can easily ensure that it works with Java 5.",Why and What,True,False,1.0
https://github.com/junit-team/junit4/commit/6c5de817e7e0afdd4d09354693535520712595fc,Remove reference to obsolete mailing list,Remove reference to obsolete mailing list,No Why,False,False,
https://github.com/junit-team/junit4/commit/467c3f8efe1a87e3029df282e4df60ad98bc4142,"Deprecate Assert#assertThat 
  
 The method 'assertThat' is used for writing assertions with Hamcrest. 
 Hamcrest is an independent assertion library and contains an own 
 'assertThat' method in the class 'org.hamcrest.MatcherAssert'. It is 
 available both in the old Hamcrest 1.3 release and in the current 
 Hamcrest 2.1. Therefore the JUnit team recommends to use Hamcrest's own 
 'assertThat' directly.","Deprecate Assert#assertThat
The method 'assertThat' is used for writing assertions with Hamcrest.
Hamcrest is an independent assertion library and contains an own
'assertThat' method in the class 'org.hamcrest.MatcherAssert'. It is
available both in the old Hamcrest 1.3 release and in the current
Hamcrest 2.1. Therefore the JUnit team recommends to use Hamcrest's own
'assertThat' directly.",Why and What,True,False,1.0
https://github.com/junit-team/junit4/commit/8a367c1b918f02135d333f3cea8b576c20287361,"Revert 'ExternalResource: declare after() to throw Throwable (#1421)' 
  
 Revert commit cebbf5e15725b4dc247ac0557f6fa63f475b15af. 
 It breaks code that extends ExternalResource, 
 overrides after() and calls super.after() in after().","Revert 'ExternalResource: declare after() to throw Throwable (#1421)'
Revert commit cebbf5e15725b4dc247ac0557f6fa63f475b15af.
It breaks code that extends ExternalResource,
overrides after() and calls super.after() in after().",Why and What,False,False,
https://github.com/junit-team/junit4/commit/37610e67f77db2f238e7fde2c36f1f0d180790b1,spelling: unwieldy,spelling: unwieldy,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/b9a1291cd0e72b0ba1babfd330a0148ab3d42b27,spelling: methods,spelling: methods,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/a5e71079e26cfa282a36b1eab806f596bc20a949,spelling: builder,spelling: builder,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/2101dad6cf8fcd94d351f65cf28812ec527d7bf5,spelling: assert,spelling: assert,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/039dbd17447bd7bb5b4d0f7861d87b5c22703832,style: remove space,style: remove space,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/6d0fad48ce3a05b32d903d2016c24d276b6e1eb8,Remove usages of FrameworkMember as a raw type. (#1596),Remove usages of FrameworkMember as a raw type.,Why and What,False,False,
https://github.com/junit-team/junit4/commit/61c3a030440ed9041aafd9e66d1c6c3ebc71440a,ParentRunner.classRules() returns modifiable List (#1578),ParentRunner.classRules() returns modifiable List,No What,False,False,
https://github.com/junit-team/junit4/commit/9b34c4b6e887c6ea8ea78748f9406c83c9118e71,"Remove openjdk6 from Travis pipeline for now 
  
 Related issue: #1577","Remove openjdk6 from Travis pipeline for now
Related issue: #1577",Why and What,False,False,
https://github.com/junit-team/junit4/commit/e22bd95ab7e452245d4844f5e9b05564fe189f68,Change links to point directly to junit4/5 repos,Change links to point directly to junit4/5 repos,No Why,False,False,
https://github.com/junit-team/junit4/commit/2510a7e82efabfd442b4cddfabe6150b4edf45f2,Update JUnit 5 teaser,Update JUnit 5 teaser,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/4d472c8b21a12eba59bf329ec759a7d51ff10c8b,Update campaign spending,Update campaign spending,Why and What,False,True,0.0
https://github.com/junit-team/junit4/commit/3bd79f0cb669617dd883db354c3f05ead0fa3d6f,Use new logo and link to new website,Use new logo and link to new website,No Why,False,True,0.0
https://github.com/junit-team/junit4/commit/6fe93c1a2717ce06b252d8a45d7ca020d3dc3fb3,"Deleted dead faq link. 
  
 Fix #1248.",Deleted dead faq link.,Why and What,False,False,
https://github.com/junit-team/junit4/commit/78029cd90a5a7be76fc54aa725be94f87f35927e,"Publish from Travis 
  
 Remove 11 
  
 Omit signing 
  
 WIP","Publish from Travis
Remove 11
Omit signing
WIP",No Why,False,True,0.0
https://github.com/junit-team/junit4/commit/eb75886b2be7edf709441962bf3272e4319823c5,Add tests for serialization of Result.assumptionFailureCount.,Add tests for serialization of Result.assumptionFailureCount.,Why and What,False,False,
https://github.com/junit-team/junit4/commit/4f2ed5d7a7bbe77f6c917c6ccc7de303896d1beb,Added name to contributors list,Added name to contributors list,Why and What,False,False,
https://github.com/junit-team/junit4/commit/5785d9df8fe25f68567272850cd65b4dc07da617,"Deprecate rule ExpectedException (#1519) 
  
 The method Assert.assertThrows provides a nicer way for verifying 
 exceptions. In addition the use of ExpectedException is error-prone 
 when used with other rules like TestWatcher because the order of rules 
 is important in that case.","Deprecate rule ExpectedException
The method Assert.assertThrows provides a nicer way for verifying
exceptions. In addition the use of ExpectedException is error-prone
when used with other rules like TestWatcher because the order of rules
is important in that case.",Why and What,True,False,1.0
https://github.com/junit-team/junit4/commit/8e05e94956c1820e7a72d55795c5198835afca0e,Add siili,Add siili,No Why,False,True,0.0
https://github.com/junit-team/junit4/commit/236e75bd968935cf8728c3f7aaaccaefd2f9c737,Adapt links to reflect repo rename,Adapt links to reflect repo rename,Why and What,False,False,
https://github.com/junit-team/junit4/commit/d3d7a8b1389e53055d4de9de3aa319053b4a5524,"Identify reflection package jdk.internal.reflect 
  
 JDK 9 uses classes from the package jdk.internal.reflect instead of 
 sun.reflect.","Identify reflection package jdk.internal.reflect
JDK 9 uses classes from the package jdk.internal.reflect instead of
sun.reflect.",Why and What,True,False,1.0
https://github.com/junit-team/junit4/commit/bdb1799a6b58c4ab40c418111333f4e8e1816e7e,"Add Assert#expectThrows and Assert#assertThrows 
  
 Closes #1154.",Add Assert#expectThrows and Assert#assertThrows,Why and What,False,False,
https://github.com/junit-team/junit4/commit/3d7de190844d92de87ca197cfd1fce74ae432f0f,"Add test for handling InitializationError 
  
 The code was changed by commit 0804ef4cd09b0e94783a9882c60914e22fca5108 
 but unfortunately the test was not part of the commit. The test is based 
 on Philip Graf's test in pull request #1065. 
  
 Co-authored-by: Philip Graf <git@acanda.ch>","Add test for handling InitializationError
The code was changed by commit 0804ef4cd09b0e94783a9882c60914e22fca5108
but unfortunately the test was not part of the commit. The test is based
on Philip Graf's test in pull request #1065.
Co-authored-by: Philip Graf <git@acanda.ch>",Why and What,True,False,1.0
